State,District,Market,Commodity,Variety,Arrival_Qty,Min_Price,Max_Price,Modal_Price,Date
Karnataka,Hubli,Hubli,Maize,Local,1321,2124,2450,2255,15-01-2024
Karnataka,Mysore,Mysore,Tomato,Local,412,2205,2631,2333,15-01-2024
Tamil Nadu,Coimbatore,Coimbatore,Rice,Local,558,2025,2474,2228,15-01-2024
Tamil Nadu,Coimbatore,Coimbatore,Onion,Local,129,1753,2046,1887,15-01-2024
Tamil Nadu,Chennai,Chennai,Maize,Local,675,1961,2284,2093,15-01-2024
West Bengal,Hooghly,Hooghly,Rice,Local,192,1963,2324,2162,15-01-2024
West Bengal,Hooghly,Hooghly,Potato,Local,1148,1004,1218,1096,15-01-2024
Bihar,Patna,Patna,Wheat,Local,593,2077,2548,2312,15-01-2024
Bihar,Gaya,Gaya,Rice,Local,692,1863,2282,2046,15-01-2024
Maharashtra,Pune,Pune,Potato,Local,943,1107,1306,1239,14-02-2024
Maharashtra,Nashik,Lasalgaon,Onion,Local,1423,1929,2290,2060,14-02-2024
Maharashtra,Latur,Latur,Jowar,Local,726,3000,3762,3390,14-02-2024
Uttar Pradesh,Varanasi,Varanasi,Potato,Local,718,1078,1308,1178,14-02-2024
Uttar Pradesh,Varanasi,Varanasi,Wheat,Local,1411,2179,2532,2372,14-02-2024
Uttar Pradesh,Varanasi,Varanasi,Onion,Local,666,1870,2192,1983,14-02-2024
Punjab,Bathinda,Bathinda,Wheat,Local,709,2287,2702,2446,14-02-2024
Punjab,Amritsar,Amritsar,Rice,Local,397,2155,2547,2324,14-02-2024
Punjab,Ludhiana,Ludhiana,Maize,Local,241,2088,2492,2254,14-02-2024
Haryana,Karnal,Karnal,Maize,Local,1301,1949,2513,2207,14-02-2024
Haryana,Hisar,Hisar,Wheat,Local,1476,2328,2723,2471,14-02-2024
Haryana,Karnal,Karnal,Rice,Local,61,2074,2564,2312,14-02-2024
Madhya Pradesh,Bhopal,Bhopal,Soybean,Local,1191,4503,5294,4849,14-02-2024
Madhya Pradesh,Gwalior,Gwalior,Wheat,Local,1001,2166,2589,2438,14-02-2024
Madhya Pradesh,Ujjain,Ujjain,Chickpea,Local,1083,5527,6482,5865,14-02-2024
Gujarat,Surat,Surat,Maize,Local,556,2073,2436,2270,14-02-2024
Gujarat,Rajkot,Rajkot,Cotton,Local,539,6459,7559,6912,14-02-2024
Gujarat,Rajkot,Rajkot,Groundnut,Local,737,6027,6942,6481,14-02-2024
Rajasthan,Jodhpur,Jodhpur,Bajra,Local,181,2314,2775,2492,14-02-2024
Rajasthan,Jodhpur,Jodhpur,Chickpea,Local,473,5211,6173,5677,14-02-2024
Rajasthan,Kota,Kota,Soybean,Local,90,4426,5379,4739,14-02-2024
Andhra Pradesh,Vijayawada,Vijayawada,Maize,Local,908,2057,2477,2283,14-02-2024
Andhra Pradesh,Guntur,Guntur,Turmeric,Local,501,9719,11689,10585,14-02-2024
Andhra Pradesh,Vijayawada,Vijayawada,Rice,Local,738,1999,2310,2195,14-02-2024
Karnataka,Bangalore,Bangalore,Rice,Local,1143,2200,2652,2330,14-02-2024
Karnataka,Hubli,Hubli,Chickpea,Local,221,5552,6686,6025,14-02-2024
Karnataka,Mysore,Mysore,Tomato,Local,582,2286,2591,2430,14-02-2024
Tamil Nadu,Coimbatore,Coimbatore,Maize,Local,913,1989,2310,2131,14-02-2024
Tamil Nadu,Coimbatore,Coimbatore,Rice,Local,156,2062,2524,2259,14-02-2024
Tamil Nadu,Chennai,Chennai,Onion,Local,132,1709,2195,1932,14-02-2024
West Bengal,Burdwan,Burdwan,Rice,Local,1019,2045,2372,2214,14-02-2024
West Bengal,Hooghly,Hooghly,Potato,Local,574,1036,1196,1095,14-02-2024
Bihar,Patna,Patna,Wheat,Local,1235,2084,2520,2338,14-02-2024
Bihar,Gaya,Gaya,Rice,Local,818,2030,2497,2206,14-02-2024
Maharashtra,Amravati,Amravati,Onion,Local,297,1882,2322,2089,28-02-2024
Maharashtra,Solapur,Solapur,Sugarcane,Local,927,3182,3681,3404,28-02-2024
Maharashtra,Amravati,Amravati,Turmeric,Local,910,9591,11323,10477,28-02-2024
Uttar Pradesh,Lucknow,Lucknow,Sugarcane,Local,1498,2987,3634,3231,28-02-2024
Uttar Pradesh,Meerut,Meerut,Wheat,Local,603,2164,2641,2323,28-02-2024
Uttar Pradesh,Meerut,Meerut,Rice,Local,942,2048,2441,2232,28-02-2024
Punjab,Bathinda,Bathinda,Maize,Local,549,2086,2658,2354,28-02-2024
Punjab,Patiala,Patiala,Rice,Local,1062,2176,2536,2348,28-02-2024
Punjab,Patiala,Patiala,Wheat,Local,747,2183,2737,2440,28-02-2024
Haryana,Hisar,Hisar,Maize,Local,882,2032,2437,2274,28-02-2024
Haryana,Hisar,Hisar,Rice,Local,1055,2083,2539,2323,28-02-2024
Haryana,Karnal,Karnal,Wheat,Local,1466,2250,2716,2538,28-02-2024
Madhya Pradesh,Gwalior,Gwalior,Soybean,Local,1177,4298,5418,4754,28-02-2024
Madhya Pradesh,Indore,Indore,Chickpea,Local,522,5100,6028,5594,28-02-2024
Madhya Pradesh,Bhopal,Bhopal,Wheat,Local,1463,2166,2682,2401,28-02-2024
Gujarat,Rajkot,Rajkot,Groundnut,Local,1272,5892,7153,6396,28-02-2024
Gujarat,Ahmedabad,Ahmedabad,Maize,Local,789,2170,2490,2313,28-02-2024
Gujarat,Ahmedabad,Ahmedabad,Cotton,Local,143,6438,7351,6926,28-02-2024
Rajasthan,Kota,Kota,Soybean,Local,75,4509,5120,4834,28-02-2024
Rajasthan,Jodhpur,Jodhpur,Chickpea,Local,155,5135,6074,5621,28-02-2024
Rajasthan,Jodhpur,Jodhpur,Bajra,Local,870,2409,2964,2637,28-02-2024
Andhra Pradesh,Kurnool,Kurnool,Rice,Local,558,2006,2351,2182,28-02-2024
Andhra Pradesh,Kurnool,Kurnool,Turmeric,Local,1316,9480,11508,10427,28-02-2024
Andhra Pradesh,Vijayawada,Vijayawada,Maize,Local,658,2044,2551,2254,28-02-2024
Karnataka,Hubli,Hubli,Rice,Local,475,2132,2598,2288,28-02-2024
Karnataka,Hubli,Hubli,Maize,Local,405,2015,2316,2176,28-02-2024
Karnataka,Mysore,Mysore,Tomato,Local,1266,2078,2575,2361,28-02-2024
Tamil Nadu,Madurai,Madurai,Maize,Local,195,1911,2395,2124,28-02-2024
Tamil Nadu,Madurai,Madurai,Rice,Local,1257,1935,2415,2154,28-02-2024
Tamil Nadu,Madurai,Madurai,Onion,Local,510,1809,2146,2024,28-02-2024
West Bengal,Burdwan,Burdwan,Rice,Local,679,1958,2356,2212,28-02-2024
West Bengal,Hooghly,Hooghly,Potato,Local,304,1060,1240,1152,28-02-2024
Bihar,Patna,Patna,Rice,Local,214,2021,2418,2209,28-02-2024
Bihar,Patna,Patna,Wheat,Local,102,2196,2604,2358,28-02-2024
Maharashtra,Solapur,Solapur,Turmeric,Local,1112,10035,11458,10751,13-03-2024
Maharashtra,Solapur,Solapur,Wheat,Local,942,2219,2812,2467,13-03-2024
Maharashtra,Nagpur,Nagpur,Cotton,Local,886,6906,7959,7286,13-03-2024
Uttar Pradesh,Meerut,Meerut,Potato,Local,870,1056,1223,1137,13-03-2024
Uttar Pradesh,Varanasi,Varanasi,Wheat,Local,287,2012,2435,2270,13-03-2024
Uttar Pradesh,Varanasi,Varanasi,Sugarcane,Local,1161,2978,3335,3176,13-03-2024
Punjab,Amritsar,Amritsar,Cotton,Local,955,6702,7945,7257,13-03-2024
Punjab,Bathinda,Bathinda,Wheat,Local,947,2266,2796,2467,13-03-2024
Punjab,Ludhiana,Ludhiana,Maize,Local,540,2089,2434,2203,13-03-2024
Haryana,Hisar,Hisar,Maize,Local,282,2003,2574,2259,13-03-2024
Haryana,Rohtak,Rohtak,Rice,Local,647,2238,2573,2419,13-03-2024
Haryana,Karnal,Karnal,Wheat,Local,1017,2313,2782,2544,13-03-2024
Madhya Pradesh,Indore,Indore,Soybean,Local,329,4296,5206,4660,13-03-2024
Madhya Pradesh,Gwalior,Gwalior,Wheat,Local,1089,2188,2543,2339,13-03-2024
Madhya Pradesh,Ujjain,Ujjain,Chickpea,Local,1252,5274,6312,5861,13-03-2024
Gujarat,Rajkot,Rajkot,Groundnut,Local,982,5966,7136,6494,13-03-2024
Gujarat,Ahmedabad,Ahmedabad,Cotton,Local,834,6874,7764,7246,13-03-2024
Gujarat,Surat,Surat,Maize,Local,1018,2062,2447,2269,13-03-2024
Rajasthan,Jodhpur,Jodhpur,Chickpea,Local,1258,5093,6320,5771,13-03-2024
Rajasthan,Jodhpur,Jodhpur,Wheat,Local,1127,2331,2699,2477,13-03-2024
Rajasthan,Jaipur,Jaipur,Bajra,Local,366,2158,2736,2425,13-03-2024
Andhra Pradesh,Vijayawada,Vijayawada,Maize,Local,722,2003,2332,2206,13-03-2024
Andhra Pradesh,Vijayawada,Vijayawada,Turmeric,Local,1049,9770,11623,10777,13-03-2024
Andhra Pradesh,Kurnool,Kurnool,Rice,Local,638,1931,2416,2183,13-03-2024
Karnataka,Hubli,Hubli,Tomato,Local,390,2360,2690,2540,13-03-2024
Karnataka,Mysore,Mysore,Maize,Local,164,1914,2342,2170,13-03-2024
Karnataka,Hubli,Hubli,Rice,Local,893,2061,2427,2264,13-03-2024
Tamil Nadu,Chennai,Chennai,Onion,Local,1449,1823,2143,1976,13-03-2024
Tamil Nadu,Coimbatore,Coimbatore,Rice,Local,1356,2045,2378,2221,13-03-2024
Tamil Nadu,Coimbatore,Coimbatore,Maize,Local,1002,1977,2412,2133,13-03-2024
West Bengal,Hooghly,Hooghly,Rice,Local,1358,1958,2389,2166,13-03-2024
West Bengal,Hooghly,Hooghly,Potato,Local,837,1056,1247,1158,13-03-2024
Bihar,Gaya,Gaya,Wheat,Local,1482,2070,2462,2287,13-03-2024
Bihar,Patna,Patna,Rice,Local,66,1943,2248,2071,13-03-2024
Maharashtra,Nagpur,Nagpur,Tomato,Local,1321,2149,2631,2376,12-04-2024
Maharashtra,Solapur,Solapur,Cotton,Local,330,6643,7919,7139,12-04-2024
Maharashtra,Pune,Pune,Sugarcane,Local,952,2902,3309,3141,12-04-2024
Uttar Pradesh,Lucknow,Lucknow,Onion,Local,900,1727,1975,1830,12-04-2024
Uttar Pradesh,Meerut,Meerut,Potato,Local,799,1013,1223,1083,12-04-2024
Uttar Pradesh,Kanpur,Kanpur,Sugarcane,Local,1036,2775,3286,3086,12-04-2024
Punjab,Bathinda,Bathinda,Maize,Local,1435,2076,2653,2333,12-04-2024
Punjab,Amritsar,Amritsar,Wheat,Local,858,2409,2786,2573,12-04-2024
Punjab,Patiala,Patiala,Rice,Local,1426,2076,2530,2336,12-04-2024
Haryana,Hisar,Hisar,Rice,Local,1199,2047,2403,2284,12-04-2024
Haryana,Rohtak,Rohtak,Maize,Local,1000,2061,2430,2302,12-04-2024
Haryana,Hisar,Hisar,Cotton,Local,126,6356,7434,6996,12-04-2024
Madhya Pradesh,Ujjain,Ujjain,Soybean,Local,809,4211,4979,4589,12-04-2024
Madhya Pradesh,Indore,Indore,Wheat,Local,1391,2191,2659,2354,12-04-2024
Madhya Pradesh,Indore,Indore,Chickpea,Local,622,5264,6470,5703,12-04-2024
Gujarat,Surat,Surat,Maize,Local,253,2059,2451,2175,12-04-2024
Gujarat,Rajkot,Rajkot,Cotton,Local,174,6504,7641,6896,12-04-2024
Gujarat,Ahmedabad,Ahmedabad,Groundnut,Local,981,6003,7192,6334,12-04-2024
Rajasthan,Jaipur,Jaipur,Wheat,Local,1206,2056,2592,2276,12-04-2024
Rajasthan,Jaipur,Jaipur,Soybean,Local,492,4269,4887,4573,12-04-2024
Rajasthan,Jodhpur,Jodhpur,Bajra,Local,55,2172,2760,2440,12-04-2024
Andhra Pradesh,Kurnool,Kurnool,Rice,Local,319,2081,2644,2344,12-04-2024
Andhra Pradesh,Kurnool,Kurnool,Turmeric,Local,82,9416,11106,10069,12-04-2024
Andhra Pradesh,Vijayawada,Vijayawada,Maize,Local,282,1886,2308,2122,12-04-2024
Karnataka,Bangalore,Bangalore,Tomato,Local,1081,2184,2528,2385,12-04-2024
Karnataka,Hubli,Hubli,Maize,Local,1399,1997,2535,2262,12-04-2024
Karnataka,Mysore,Mysore,Chickpea,Local,1030,5212,5931,5634,12-04-2024
Tamil Nadu,Madurai,Madurai,Maize,Local,709,1964,2438,2156,12-04-2024
Tamil Nadu,Madurai,Madurai,Rice,Local,1248,1938,2411,2180,12-04-2024
Tamil Nadu,Coimbatore,Coimbatore,Onion,Local,653,1756,2138,1937,12-04-2024
West Bengal,Burdwan,Burdwan,Potato,Local,1179,998,1246,1124,12-04-2024
West Bengal,Hooghly,Hooghly,Rice,Local,897,2059,2556,2262,12-04-2024
Bihar,Gaya,Gaya,Rice,Local,1412,1915,2351,2160,12-04-2024
Bihar,Patna,Patna,Wheat,Local,187,1998,2541,2243,12-04-2024
Maharashtra,Latur,Latur,Onion,Local,172,1832,2147,2022,19-04-2024
Maharashtra,Nagpur,Nagpur,Jowar,Local,891,3204,3869,3485,19-04-2024
Maharashtra,Nagpur,Nagpur,Turmeric,Local,155,10120,11641,10699,19-04-2024
Uttar Pradesh,Lucknow,Lucknow,Onion,Local,1037,1672,1943,1826,19-04-2024
Uttar Pradesh,Kanpur,Kanpur,Potato,Local,285,1032,1255,1141,19-04-2024
Uttar Pradesh,Meerut,Meerut,Rice,Local,1323,2091,2515,2233,19-04-2024
Punjab,Patiala,Patiala,Wheat,Local,745,2146,2670,2387,19-04-2024
Punjab,Amritsar,Amritsar,Maize,Local,870,2033,2379,2161,19-04-2024
Punjab,Ludhiana,Ludhiana,Rice,Local,1136,2137,2434,2312,19-04-2024
Haryana,Rohtak,Rohtak,Rice,Local,1212,2109,2596,2328,19-04-2024
Haryana,Karnal,Karnal,Cotton,Local,1315,6073,7313,6872,19-04-2024
Haryana,Rohtak,Rohtak,Maize,Local,1044,2031,2507,2259,19-04-2024
Madhya Pradesh,Gwalior,Gwalior,Soybean,Local,277,4196,4953,4582,19-04-2024
Madhya Pradesh,Indore,Indore,Chickpea,Local,681,5192,6183,5634,19-04-2024
Madhya Pradesh,Gwalior,Gwalior,Wheat,Local,468,2168,2411,2285,19-04-2024
Gujarat,Ahmedabad,Ahmedabad,Groundnut,Local,931,5633,6942,6341,19-04-2024
Gujarat,Surat,Surat,Maize,Local,1194,1945,2270,2120,19-04-2024
Gujarat,Rajkot,Rajkot,Cotton,Local,136,6320,8052,7141,19-04-2024
Rajasthan,Jodhpur,Jodhpur,Bajra,Local,1361,2343,2805,2546,19-04-2024
Rajasthan,Kota,Kota,Wheat,Local,401,2108,2639,2321,19-04-2024
Rajasthan,Jaipur,Jaipur,Chickpea,Local,944,5192,6055,5593,19-04-2024
Andhra Pradesh,Kurnool,Kurnool,Rice,Local,745,2081,2472,2293,19-04-2024
Andhra Pradesh,Vijayawada,Vijayawada,Maize,Local,283,1903,2339,2134,19-04-2024
Andhra Pradesh,Kurnool,Kurnool,Turmeric,Local,1371,9616,11023,10193,19-04-2024
Karnataka,Bangalore,Bangalore,Maize,Local,1392,1911,2279,2142,19-04-2024
Karnataka,Hubli,Hubli,Tomato,Local,1204,2123,2488,2273,19-04-2024
Karnataka,Hubli,Hubli,Chickpea,Local,1351,5386,6276,5701,19-04-2024
Tamil Nadu,Madurai,Madurai,Maize,Local,612,1926,2335,2110,19-04-2024
Tamil Nadu,Chennai,Chennai,Onion,Local,975,1682,1980,1837,19-04-2024
Tamil Nadu,Madurai,Madurai,Rice,Local,234,2030,2287,2164,19-04-2024
West Bengal,Hooghly,Hooghly,Potato,Local,134,1046,1234,1105,19-04-2024
West Bengal,Hooghly,Hooghly,Rice,Local,1289,2088,2421,2269,19-04-2024
Bihar,Patna,Patna,Wheat,Local,222,2114,2540,2257,19-04-2024
Bihar,Patna,Patna,Rice,Local,1123,1946,2385,2094,19-04-2024
Maharashtra,Solapur,Solapur,Chickpea,Local,1342,5186,6335,5739,26-04-2024
Maharashtra,Nagpur,Nagpur,Cotton,Local,841,6273,7642,6946,26-04-2024
Maharashtra,Amravati,Amravati,Jowar,Local,1284,3096,3746,3295,26-04-2024
Uttar Pradesh,Varanasi,Varanasi,Rice,Local,1393,1989,2417,2235,26-04-2024
Uttar Pradesh,Varanasi,Varanasi,Potato,Local,1194,1001,1139,1077,26-04-2024
Uttar Pradesh,Meerut,Meerut,Wheat,Local,1489,2113,2484,2340,26-04-2024
Punjab,Patiala,Patiala,Wheat,Local,488,2187,2675,2482,26-04-2024
Punjab,Ludhiana,Ludhiana,Maize,Local,331,2130,2494,2330,26-04-2024
Punjab,Amritsar,Amritsar,Rice,Local,1155,2160,2436,2300,26-04-2024
Haryana,Rohtak,Rohtak,Maize,Local,1468,2000,2394,2245,26-04-2024
Haryana,Hisar,Hisar,Rice,Local,891,2154,2632,2416,26-04-2024
Haryana,Rohtak,Rohtak,Wheat,Local,633,2233,2715,2491,26-04-2024
Madhya Pradesh,Gwalior,Gwalior,Soybean,Local,447,4324,5043,4617,26-04-2024
Madhya Pradesh,Ujjain,Ujjain,Wheat,Local,627,2181,2584,2371,26-04-2024
Madhya Pradesh,Bhopal,Bhopal,Chickpea,Local,458,5052,5915,5556,26-04-2024
Gujarat,Ahmedabad,Ahmedabad,Cotton,Local,1106,6596,7604,7179,26-04-2024
Gujarat,Ahmedabad,Ahmedabad,Groundnut,Local,1101,5917,6812,6339,26-04-2024
Gujarat,Rajkot,Rajkot,Maize,Local,973,1987,2538,2242,26-04-2024
Rajasthan,Jodhpur,Jodhpur,Bajra,Local,217,2224,2662,2454,26-04-2024
Rajasthan,Jodhpur,Jodhpur,Wheat,Local,1381,2083,2445,2309,26-04-2024
Rajasthan,Kota,Kota,Chickpea,Local,1017,5108,6177,5742,26-04-2024
Andhra Pradesh,Kurnool,Kurnool,Rice,Local,491,2179,2429,2310,26-04-2024
Andhra Pradesh,Guntur,Guntur,Maize,Local,277,2021,2383,2171,26-04-2024
Andhra Pradesh,Vijayawada,Vijayawada,Turmeric,Local,1358,8860,10684,9971,26-04-2024
Karnataka,Hubli,Hubli,Rice,Local,1344,2172,2607,2374,26-04-2024
Karnataka,Hubli,Hubli,Tomato,Local,53,2183,2526,2347,26-04-2024
Karnataka,Bangalore,Bangalore,Chickpea,Local,1418,5204,6035,5657,26-04-2024
Tamil Nadu,Madurai,Madurai,Onion,Local,1089,1812,2212,1974,26-04-2024
Tamil Nadu,Coimbatore,Coimbatore,Maize,Local,842,1918,2148,2038,26-04-2024
Tamil Nadu,Chennai,Chennai,Rice,Local,756,1938,2465,2199,26-04-2024
West Bengal,Kolkata,Kolkata,Rice,Local,1366,1930,2305,2133,26-04-2024
West Bengal,Burdwan,Burdwan,Potato,Local,1030,1046,1283,1127,26-04-2024
Bihar,Patna,Patna,Wheat,Local,650,2043,2386,2187,26-04-2024
Bihar,Gaya,Gaya,Rice,Local,685,1873,2208,2095,26-04-2024
Maharashtra,Amravati,Amravati,Tomato,Local,147,2005,2428,2244,26-05-2024
Maharashtra,Aurangabad,Aurangabad,Cotton,Local,944,6283,7840,6988,26-05-2024
Maharashtra,Aurangabad,Aurangabad,Wheat,Local,432,2272,2614,2410,26-05-2024
Uttar Pradesh,Meerut,Meerut,Sugarcane,Local,931,2656,3262,2998,26-05-2024
Uttar Pradesh,Agra,Agra,Potato,Local,260,960,1158,1076,26-05-2024
Uttar Pradesh,Lucknow,Lucknow,Onion,Local,922,1474,1783,1636,26-05-2024
Punjab,Patiala,Patiala,Cotton,Local,940,6379,7334,6780,26-05-2024
Punjab,Bathinda,Bathinda,Rice,Local,1424,2208,2491,2361,26-05-2024
Punjab,Ludhiana,Ludhiana,Maize,Local,113,2043,2425,2182,26-05-2024
Haryana,Rohtak,Rohtak,Rice,Local,834,2087,2418,2233,26-05-2024
Haryana,Hisar,Hisar,Wheat,Local,809,2047,2506,2298,26-05-2024
Haryana,Hisar,Hisar,Maize,Local,801,1926,2311,2175,26-05-2024
Madhya Pradesh,Ujjain,Ujjain,Soybean,Local,1110,4204,5086,4768,26-05-2024
Madhya Pradesh,Ujjain,Ujjain,Chickpea,Local,1491,4950,6240,5573,26-05-2024
Madhya Pradesh,Bhopal,Bhopal,Wheat,Local,1055,2048,2469,2219,26-05-2024
Gujarat,Surat,Surat,Groundnut,Local,229,5940,6867,6300,26-05-2024
Gujarat,Surat,Surat,Maize,Local,182,2109,2467,2222,26-05-2024
Gujarat,Surat,Surat,Cotton,Local,1484,6463,7726,6858,26-05-2024
Rajasthan,Jaipur,Jaipur,Wheat,Local,1061,1989,2364,2225,26-05-2024
Rajasthan,Jaipur,Jaipur,Chickpea,Local,1179,4958,5885,5389,26-05-2024
Rajasthan,Kota,Kota,Bajra,Local,1030,2168,2637,2447,26-05-2024
Andhra Pradesh,Vijayawada,Vijayawada,Maize,Local,1004,1856,2174,2057,26-05-2024
Andhra Pradesh,Vijayawada,Vijayawada,Turmeric,Local,1179,8635,10923,9713,26-05-2024
Andhra Pradesh,Kurnool,Kurnool,Rice,Local,1079,2111,2400,2261,26-05-2024
Karnataka,Mysore,Mysore,Tomato,Local,511,1910,2430,2143,26-05-2024
Karnataka,Mysore,Mysore,Chickpea,Local,211,5277,6194,5759,26-05-2024
Karnataka,Mysore,Mysore,Rice,Local,1330,2096,2378,2213,26-05-2024
Tamil Nadu,Madurai,Madurai,Onion,Local,1328,1554,1798,1688,26-05-2024
Tamil Nadu,Chennai,Chennai,Rice,Local,134,2052,2573,2271,26-05-2024
Tamil Nadu,Madurai,Madurai,Maize,Local,592,1901,2249,2009,26-05-2024
West Bengal,Hooghly,Hooghly,Rice,Local,1167,1919,2459,2176,26-05-2024
West Bengal,Hooghly,Hooghly,Potato,Local,1452,934,1111,1036,26-05-2024
Bihar,Gaya,Gaya,Rice,Local,1041,1821,2245,2060,26-05-2024
Bihar,Gaya,Gaya,Wheat,Local,703,1982,2317,2149,26-05-2024
Maharashtra,Nashik,Lasalgaon,Soybean,Local,557,4093,4817,4485,09-06-2024
Maharashtra,Aurangabad,Aurangabad,Chickpea,Local,1310,4698,5659,5218,09-06-2024
Maharashtra,Latur,Latur,Onion,Local,720,1489,1685,1583,09-06-2024
Uttar Pradesh,Varanasi,Varanasi,Potato,Local,681,900,1075,982,09-06-2024
Uttar Pradesh,Lucknow,Lucknow,Rice,Local,543,1886,2183,1993,09-06-2024
Uttar Pradesh,Varanasi,Varanasi,Wheat,Local,1273,1844,2244,2087,09-06-2024
